Repositório,Estrelas,Total de Releases,Mediana
restic,27673,47,33
ink,27652,53,33.0
90DaysOfDevOps,27651,2,33
DeepFaceLive,27646,35,33.0
jan,27646,73,33
aider,27630,81,33.0
diffusers,27599,81,33
vhr,27593,0,33.0
gitbook,27567,21,33
hosts,27517,729,33.0
yapi,27497,1,33
helm,27475,204,33.0
Daily-Interview-Question,27452,0,33
CLIP,27447,0,33.0
textual,27440,165,33
ResumeSample,27421,0,33.0
python-fire,27412,11,33
vnpy,27379,62,33.0
underscore,27377,0,33
motion,27359,0,32.5
Python-programming-exercises,27306,0,32
aos,27274,0,32.0
Xray-core,27272,77,32
weui,27256,51,32.5
mindsdb,27234,283,33
Jobs_Applier_AI_Agent_AIHawk,27214,0,32.5
TrackersListCollection,27203,0,32
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,27201,0,32.0
Retrieval-based-Voice-Conversion-WebUI,27162,7,32
dragonfly,27161,91,32.0
it-tools,27115,10,32
dnSpy,27113,1,32.0
mongoose,27102,176,32
awesome-sysadmin,27102,0,32.0
JCSprout,27094,0,32
firecracker,27086,75,32.0
ghostty,27071,1,32
commander.js,27060,82,32.0
AdGuardHome,27056,195,32
Tvlist-awesome-m3u-m3u8,27055,0,32.0
turborepo,27024,464,32
Web,27004,0,32.0
python-telegram-bot,26991,121,32
tdesktop,26977,770,32.0
legacy-homebrew,26962,0,32
codemirror5,26954,173,32.0
swagger-ui,26950,351,32
redash,26937,99,32.5
coder2gwy,26904,0,32
wails,26872,227,32.5
crewAI,26867,76,33
ace,26861,97,33.0
rethinkdb,26851,72,33
Avalonia,26835,98,33.0
kit,26827,13,33
angular-cli,26827,795,33.0
headlessui,26809,120,33
mongo,26796,0,33.0
Faker,26795,12,33
rust-course,26791,0,33.0
k6,26785,68,33
vue-vben-admin,26762,54,33.0
gitflow,26752,0,33
taichi,26750,117,33.0
hangzhou_house_knowledge,26739,0,33
openssl,26727,274,33.0
fastai,26648,55,33
data-engineer-handbook,26638,0,33.0
firecrawl,26637,12,33
anoma,26623,7,33.0
duckdb,26615,46,33
xgboost,26612,62,33.0
react-virtualized,26609,6,33
so-vits-svc,26564,0,33.0
Rectangle,26504,89,33
vagrant,26489,134,33.0
30-Days-Of-React,26477,0,33
nodemon,26458,102,33.0
cascadia-code,26447,20,33
create-t3-app,26399,135,33.0
drizzle-orm,26393,128,33
srs,26393,66,33.5
vscodium,26392,212,34
spleeter,26392,2,33.5
kitty,26366,121,34
the_silver_searcher,26359,0,33.5
GoodbyeDPI,26359,30,33
khoj,26315,127,33.5
Detectron,26301,0,33
quasar,26278,989,33.5
miaosha,26255,0,33
nprogress,26248,7,33.0
ChatDev,26210,9,33
cmder,26185,34,33.0
emscripten,26181,0,33
awesome-electron,26121,0,33.0
Signal-Android,26115,80,33
jumpserver,26102,240,33.0
MinerU,26086,91,33
fastText,26072,4,33.0
nginx,26058,4,33
ExplorerPatcher,26050,287,33.0
lottie-ios,26044,69,33
darknet,26023,0,33.0
next-auth,26011,1000,33
awesome-vscode,26002,0,33.0
hacker-laws,25954,1,33
select2,25949,29,33.0
ItChat,25944,13,33
go-patterns,25919,0,32.5
DeepSpeech,25896,105,33
fonts,25894,1,32.5
table,25834,267,33
